en_book,en_chapter,en_verse,en_part,ru_book,ru_chapter,ru_verse,ru_part
Leviticus,14,56,,Книга Левит,14,55,
Leviticus,14,57,,Книга Левит,14,56,
Numbers,12,16,,Книга Числа,13,1,
Numbers,13,1,,Книга Числа,13,2,
Numbers,13,2,,Книга Числа,13,3,
Numbers,13,3,,Книга Числа,13,4,
Numbers,13,4,,Книга Числа,13,5,
Numbers,13,5,,Книга Числа,13,6,
Numbers,13,6,,Книга Числа,13,7,
Numbers,13,7,,Книга Числа,13,8,
Numbers,13,8,,Книга Числа,13,9,
Numbers,13,9,,Книга Числа,13,10,
Numbers,13,10,,Книга Числа,13,11,
Numbers,13,11,,Книга Числа,13,12,
Numbers,13,12,,Книга Числа,13,13,
Numbers,13,13,,Книга Числа,13,14,
Numbers,13,14,,Книга Числа,13,15,
Numbers,13,15,,Книга Числа,13,16,
Numbers,13,16,,Книга Числа,13,17,
Numbers,13,17,,Книга Числа,13,18,
Numbers,13,18,,Книга Числа,13,19,
Numbers,13,19,,Книга Числа,13,20,
Numbers,13,20,,Книга Числа,13,21,
Numbers,13,21,,Книга Числа,13,22,
Numbers,13,22,,Книга Числа,13,23,
Numbers,13,23,,Книга Числа,13,24,
Numbers,13,24,,Книга Числа,13,25,
Numbers,13,25,,Книга Числа,13,26,
Numbers,13,26,,Книга Числа,13,27,
Numbers,13,27,,Книга Числа,13,28,
Numbers,13,28,,Книга Числа,13,29,
Numbers,13,29,,Книга Числа,13,30,
Numbers,13,30,,Книга Числа,13,31,
Numbers,13,31,,Книга Числа,13,32,
Numbers,13,32,,Книга Числа,13,33,
Numbers,13,33,,Книга Числа,13,34,
Numbers,29,40,,Книга Числа,30,1,
Numbers,30,1,,Книга Числа,30,2,
Numbers,30,2,,Книга Числа,30,3,
Numbers,30,3,,Книга Числа,30,4,
Numbers,30,4,,Книга Числа,30,5,
Numbers,30,5,,Книга Числа,30,6,
Numbers,30,6,,Книга Числа,30,7,
Numbers,30,7,,Книга Числа,30,8,
Numbers,30,8,,Книга Числа,30,9,
Numbers,30,9,,Книга Числа,30,10,
Numbers,30,10,,Книга Числа,30,11,
Numbers,30,11,,Книга Числа,30,12,
Numbers,30,12,,Книга Числа,30,13,
Numbers,30,13,,Книга Числа,30,14,
Numbers,30,14,,Книга Числа,30,15,
Numbers,30,15,,Книга Числа,30,16,
Numbers,30,16,,Книга Числа,30,17,
Joshua,6,1,,Книга Иисуса Навина,5,16,
Joshua,6,2,,Книга Иисуса Навина,6,1,
Joshua,6,3,,Книга Иисуса Навина,6,2,
Joshua,6,4,,Книга Иисуса Навина,6,3,
Joshua,6,5,,Книга Иисуса Навина,6,4,
Joshua,6,6,,Книга Иисуса Навина,6,5,
Joshua,6,7,,Книга Иисуса Навина,6,6,
Joshua,6,8,,Книга Иисуса Навина,6,7,
Joshua,6,9,,Книга Иисуса Навина,6,8,
Joshua,6,10,,Книга Иисуса Навина,6,9,
Joshua,6,11,,Книга Иисуса Навина,6,10,
Joshua,6,12,,Книга Иисуса Навина,6,11,
Joshua,6,13,,Книга Иисуса Навина,6,12,
Joshua,6,14,,Книга Иисуса Навина,6,13,
Joshua,6,15,,Книга Иисуса Навина,6,14,
Joshua,6,16,,Книга Иисуса Навина,6,15,
Joshua,6,17,,Книга Иисуса Навина,6,16,
Joshua,6,18,,Книга Иисуса Навина,6,17,
Joshua,6,19,,Книга Иисуса Навина,6,18,
Joshua,6,20,,Книга Иисуса Навина,6,19,
Joshua,6,21,,Книга Иисуса Навина,6,20,
Joshua,6,22,,Книга Иисуса Навина,6,21,
Joshua,6,23,,Книга Иисуса Навина,6,22,
Joshua,6,24,,Книга Иисуса Навина,6,23,
Joshua,6,25,,Книга Иисуса Навина,6,24,
Joshua,6,26,,Книга Иисуса Навина,6,25,
Joshua,6,27,,Книга Иисуса Навина,6,26,
1 Samuel,20,42,a,Первая книга Царств,20,42,
1 Samuel,20,42,b,Первая книга Царств,20,43,
1 Samuel,23,29,,Первая книга Царств,24,1,
1 Samuel,24,1,,Первая книга Царств,24,2,
1 Samuel,24,2,,Первая книга Царств,24,3,
1 Samuel,24,3,,Первая книга Царств,24,4,
1 Samuel,24,4,,Первая книга Царств,24,5,
1 Samuel,24,5,,Первая книга Царств,24,6,
1 Samuel,24,6,,Первая книга Царств,24,7,
1 Samuel,24,7,,Первая книга Царств,24,8,
1 Samuel,24,8,,Первая книга Царств,24,9,
1 Samuel,24,9,,Первая книга Царств,24,10,
1 Samuel,24,10,,Первая книга Царств,24,11,
1 Samuel,24,11,,Первая книга Царств,24,12,
1 Samuel,24,12,,Первая книга Царств,24,13,
1 Samuel,24,13,,Первая книга Царств,24,14,
1 Samuel,24,14,,Первая книга Царств,24,15,
1 Samuel,24,15,,Первая книга Царств,24,16,
1 Samuel,24,16,,Первая книга Царств,24,17,
1 Samuel,24,17,,Первая книга Царств,24,18,
1 Samuel,24,18,,Первая книга Царств,24,19,
1 Samuel,24,19,,Первая книга Царств,24,20,
1 Samuel,24,20,,Первая книга Царств,24,21,
1 Samuel,24,21,,Первая книга Царств,24,22,
1 Samuel,24,22,,Первая книга Царств,24,23,
Job,40,1,,Книга Иова,39,31,
Job,40,2,,Книга Иова,39,32,
Job,40,3,,Книга Иова,39,33,
Job,40,4,,Книга Иова,39,34,
Job,40,5,,Книга Иова,39,35,
Job,40,6,,Книга Иова,40,1,
Job,40,7,,Книга Иова,40,2,
Job,40,8,,Книга Иова,40,3,
Job,40,9,,Книга Иова,40,4,
Job,40,10,,Книга Иова,40,5,
Job,40,11,,Книга Иова,40,6,
Job,40,12,,Книга Иова,40,7,
Job,40,13,,Книга Иова,40,8,
Job,40,14,,Книга Иова,40,9,
Job,40,15,,Книга Иова,40,10,
Job,40,16,,Книга Иова,40,11,
Job,40,17,,Книга Иова,40,12,
Job,40,18,,Книга Иова,40,13,
Job,40,19,,Книга Иова,40,14,
Job,40,20,,Книга Иова,40,15,
Job,40,21,,Книга Иова,40,16,
Job,40,22,,Книга Иова,40,17,
Job,40,23,,Книга Иова,40,18,
Job,40,24,,Книга Иова,40,19,
Job,41,1,,Книга Иова,40,20,
Job,41,2,,Книга Иова,40,21,
Job,41,3,,Книга Иова,40,22,
Job,41,4,,Книга Иова,40,23,
Job,41,5,,Книга Иова,40,24,
Job,41,6,,Книга Иова,40,25,
Job,41,7,,Книга Иова,40,26,
Job,41,8,,Книга Иова,40,27,
Job,41,9,,Книга Иова,41,1,
Job,41,10,,Книга Иова,41,2,
Job,41,11,,Книга Иова,41,3,
Job,41,12,,Книга Иова,41,4,
Job,41,13,,Книга Иова,41,5,
Job,41,14,,Книга Иова,41,6,
Job,41,15,,Книга Иова,41,7,
Job,41,16,,Книга Иова,41,8,
Job,41,17,,Книга Иова,41,9,
Job,41,18,,Книга Иова,41,10,
Job,41,19,,Книга Иова,41,11,
Job,41,20,,Книга Иова,41,12,
Job,41,21,,Книга Иова,41,13,
Job,41,22,,Книга Иова,41,14,
Job,41,23,,Книга Иова,41,15,
Job,41,24,,Книга Иова,41,16,
Job,41,25,,Книга Иова,41,17,
Job,41,26,,Книга Иова,41,18,
Job,41,27,,Книга Иова,41,19,
Job,41,28,,Книга Иова,41,20,
Job,41,29,,Книга Иова,41,21,
Job,41,30,,Книга Иова,41,22,
Job,41,31,,Книга Иова,41,23,
Job,41,32,,Книга Иова,41,24,
Job,41,33,,Книга Иова,41,25,
Job,41,34,,Книга Иова,41,26,
Psalms,3,0,,Псалтирь,3,1,
Psalms,3,1,,Псалтирь,3,2,
Psalms,3,2,,Псалтирь,3,3,
Psalms,3,3,,Псалтирь,3,4,
Psalms,3,4,,Псалтирь,3,5,
Psalms,3,5,,Псалтирь,3,6,
Psalms,3,6,,Псалтирь,3,7,
Psalms,3,7,,Псалтирь,3,8,
Psalms,3,8,,Псалтирь,3,9,
Psalms,4,0,,Псалтирь,4,1,
Psalms,4,1,,Псалтирь,4,2,
Psalms,4,2,,Псалтирь,4,3,
Psalms,4,3,,Псалтирь,4,4,
Psalms,4,4,,Псалтирь,4,5,
Psalms,4,5,,Псалтирь,4,6,
Psalms,4,6,,Псалтирь,4,7,
Psalms,4,7,,Псалтирь,4,8,
Psalms,4,8,,Псалтирь,4,9,
